"country","medium_estimate_2030"
"Burundi",15772827
"Comoros",1063111
"Eritrea",4240216
"Ethiopia",144944302
"Kenya",66449655
"Madagascar",35622312
"Malawi",24849443
"Mauritius",1274036
"Mozambique",41184834
"Rwanda",16234390
"Seychelles",102538
"Somalia",21191041
"South Sudan",13839272
"Uganda",59437922
"Tanzania",79162723
"Zambia",24325502
"Zimbabwe",17596441
"Angola",44834707
"Cameroon",33766113
"Central African Republic",5942207
"Chad",21690376
"Congo, Rep.",7019835
"Congo, Dem. Rep.",120046720
"Equatorial Guinea",1873551
"Gabon",2744456
"Sao Tome and Principe",268242
"Botswana",2774344
"Eswatini",1297837
"Lesotho",2325171
"Namibia",3010873
"South Africa",65956090
"Benin",15672310
"Burkina Faso",27404036
"Cabo Verde",610062
"Cote d'Ivoire",33712604
"Gambia, The",3170687
"Ghana",37833419
"Guinea",17020912
"Guinea-Bissau",2461208
"Liberia",6371558
"Mali",26957390
"Mauritania",5967176
"Niger",34846019
"Nigeria",262977344
"Senegal",21551461
"Sierra Leone",9648679
"Togo",10421919
"Sudan",55253531
